id,perception,pragmatics,production,simScaling,pragWeight,costWeight,infWeight,logLikelihood,posteriorProb
0,human_full25k,combined,cost,11.135331479864067,0.10368396849265746,4.657399504940747,7.359281428802201,-2497.545380332801,-6.907755278982137
1,human_full25k,combined,cost,11.135331479864067,0.10162528949981597,4.657399504940747,7.359281428802201,-2497.685101855097,-6.907755278982137
2,human_full25k,combined,cost,11.135331479864067,0.10162528949981597,4.615136132776774,7.359281428802201,-2496.9879115429767,-5.809142990314028
3,human_full25k,combined,cost,11.135331479864067,0.10162528949981597,4.685570931635403,7.359281428802201,-2498.1555865437676,-6.907755278982137
4,human_full25k,combined,cost,11.135331479864067,0.10162528949981597,4.59815342150321,7.359281428802201,-2496.7106937743265,-6.907755278982137
5,human_full25k,combined,cost,11.135331479864067,0.10162528949981597,4.639166170187054,7.359281428802201,-2497.3830438088507,-6.907755278982137
6,human_full25k,combined,cost,11.082504352449707,0.10162528949981597,4.639166170187054,7.359281428802201,-2497.419914150826,-6.907755278982137
7,human_full25k,combined,cost,11.082504352449707,0.10162528949981597,4.639166170187054,7.34440054473219,-2496.3068284531205,-5.521460917862246
8,human_full25k,combined,cost,11.082504352449707,0.10162528949981597,4.646770419181681,7.34440054473219,-2496.4329468544297,-6.907755278982137
9,human_full25k,combined,cost,11.082504352449707,0.10834958852126872,4.646770419181681,7.34440054473219,-2496.0080860143785,-6.907755278982137
10,human_full25k,combined,cost,11.842177374372108,0.10834958852126872,4.646770419181681,7.34440054473219,-2495.7292720363635,-6.907755278982137
11,human_full25k,combined,cost,11.842177374372108,0.10834958852126872,4.547929554346052,7.34440054473219,-2494.10862251137,-6.907755278982137
12,human_full25k,combined,cost,11.842177374372108,0.10834958852126872,4.547929554346052,7.3212812146350865,-2492.3591131614207,-6.214608098422191
13,human_full25k,combined,cost,11.898007929817506,0.10834958852126872,4.547929554346052,7.3212812146350865,-2492.353324781832,-6.907755278982137
14,human_full25k,combined,cost,11.898007929817506,0.10834958852126872,4.4925490778998,7.3212812146350865,-2491.4657839282927,-5.809142990314028
15,human_full25k,combined,cost,11.898007929817506,0.13192846512597148,4.4925490778998,7.3212812146350865,-2491.305857498428,-5.521460917862246
16,human_full25k,combined,cost,11.898007929817506,0.13192846512597148,4.474483859383552,7.3212812146350865,-2491.016761926814,-6.214608098422191
17,human_full25k,combined,cost,11.594538870692613,0.13192846512597148,4.474483859383552,7.3212812146350865,-2490.9492985213838,-6.907755278982137
18,human_full25k,combined,cost,11.594538870692613,0.13192846512597148,4.46484856673483,7.3212812146350865,-2490.7960846908472,-6.907755278982137
19,human_full25k,combined,cost,11.887607505161004,0.13192846512597148,4.46484856673483,7.3212812146350865,-2490.859909912653,-6.907755278982137
20,human_full25k,combined,cost,11.887607505161004,0.13215427261359444,4.46484856673483,7.3212812146350865,-2490.8664412620974,-5.809142990314028
21,human_full25k,combined,cost,11.44651436980728,0.13215427261359444,4.46484856673483,7.3212812146350865,-2490.793753329922,-6.907755278982137
22,human_full25k,combined,cost,11.44651436980728,0.13215427261359444,4.461292855787701,7.3212812146350865,-2490.737380693126,-6.907755278982137
23,human_full25k,combined,cost,11.44651436980728,0.13215427261359444,4.491726827681216,7.3212812146350865,-2491.2223113247187,-6.214608098422191
24,human_full25k,combined,cost,10.851343103272294,0.13215427261359444,4.491726827681216,7.3212812146350865,-2491.3717182633836,-5.521460917862246
25,human_full25k,combined,cost,10.497939787885016,0.13215427261359444,4.491726827681216,7.3212812146350865,-2491.606766629079,-6.907755278982137
26,human_full25k,combined,cost,10.497939787885016,0.13215427261359444,4.398175844418458,7.3212812146350865,-2490.140511927041,-6.907755278982137
27,human_full25k,combined,cost,10.412095795431899,0.13215427261359444,4.398175844418458,7.3212812146350865,-2490.2157527340228,-6.907755278982137
28,human_full25k,combined,cost,10.412095795431899,0.13215427261359444,4.335352908777099,7.3212812146350865,-2489.261066835257,-6.907755278982137
29,human_full25k,combined,cost,11.028119348990922,0.13215427261359444,4.335352908777099,7.3212812146350865,-2488.8679755644084,-6.907755278982137
30,human_full25k,combined,cost,11.028119348990922,0.13215427261359444,4.335352908777099,7.264244873873671,-2484.390022258914,-5.809142990314028
31,human_full25k,combined,cost,11.028119348990922,0.13215427261359444,4.360033642220971,7.264244873873671,-2484.7683051227173,-6.907755278982137
32,human_full25k,combined,cost,11.625216911857956,0.13215427261359444,4.360033642220971,7.264244873873671,-2484.6952567339144,-6.907755278982137
33,human_full25k,combined,cost,11.625216911857956,0.13215427261359444,4.272377609642253,7.264244873873671,-2483.364837804119,-6.907755278982137
34,human_full25k,combined,cost,11.625216911857956,0.13215427261359444,4.248476564437217,7.264244873873671,-2483.010203586722,-5.298317366548036
35,human_full25k,combined,cost,11.508528732279029,0.13215427261359444,4.248476564437217,7.264244873873671,-2483.002806043178,-6.214608098422191
36,human_full25k,combined,cost,11.508528732279029,0.10574131279276835,4.248476564437217,7.264244873873671,-2483.7498953016648,-6.907755278982137
37,human_full25k,combined,cost,11.508528732279029,0.10574131279276835,4.228696215121641,7.264244873873671,-2483.4632635153184,-6.907755278982137
38,human_full25k,combined,cost,11.508528732279029,0.10574131279276835,4.130586075669264,7.264244873873671,-2482.077561756347,-5.521460917862246
39,human_full25k,combined,cost,11.508528732279029,0.10574131279276835,4.160690781270507,7.264244873873671,-2482.4963578088627,-6.907755278982137
40,human_full25k,combined,cost,12.386378236466639,0.10574131279276835,4.160690781270507,7.264244873873671,-2482.3800324077097,-6.907755278982137
41,human_full25k,combined,cost,12.386378236466639,0.09921370668925,4.160690781270507,7.264244873873671,-2482.824744332633,-6.907755278982137
42,human_full25k,combined,cost,12.542747956181412,0.09921370668925,4.160690781270507,7.264244873873671,-2482.833542144771,-6.907755278982137
43,human_full25k,combined,cost,12.542747956181412,0.09921370668925,4.256782200206177,7.264244873873671,-2484.2071832403158,-6.907755278982137
44,human_full25k,combined,cost,12.542747956181412,0.14481118085978478,4.256782200206177,7.264244873873671,-2484.1754516081746,-6.907755278982137
45,human_full25k,combined,cost,12.846197171681938,0.14481118085978478,4.256782200206177,7.264244873873671,-2484.523281724584,-6.907755278982137
46,human_full25k,combined,cost,12.846197171681938,0.14481118085978478,4.22771141025572,7.264244873873671,-2484.089369265693,-6.907755278982137
47,human_full25k,combined,cost,12.158078183388534,0.14481118085978478,4.22771141025572,7.264244873873671,-2483.3955015368538,-6.907755278982137
48,human_full25k,combined,cost,12.158078183388534,0.14481118085978478,4.2481442260460955,7.264244873873671,-2483.699015551274,-6.907755278982137
49,human_full25k,combined,cost,12.158078183388534,0.14481118085978478,4.216750667333081,7.264244873873671,-2483.2337448257226,-6.214608098422191
