id,perception,pragmatics,production,alpha,simScaling,pragWeight,costWeight,logLikelihood,posteriorProb
0,fc6,combined,nocost,28.838123276430288,7.519562240570545,0.14451401359007693,0,-17892.85038567622,-6.214608098422191
1,fc6,combined,nocost,27.311428007875246,7.519562240570545,0.14451401359007693,0,-17893.592430961766,-5.521460917862246
2,fc6,combined,nocost,28.888912720076128,7.519562240570545,0.14451401359007693,0,-17892.954493668898,-6.907755278982138
3,fc6,combined,nocost,27.24610611129029,7.519562240570545,0.14451401359007693,0,-17893.79657601206,-6.907755278982138
4,fc6,combined,nocost,27.24610611129029,7.9133325894801745,0.14451401359007693,0,-17893.597827430593,-5.809142990314027
5,fc6,combined,nocost,27.24610611129029,7.675572045286981,0.14451401359007693,0,-17893.446105637497,-6.214608098422191
6,fc6,combined,nocost,28.778958637546463,7.675572045286981,0.14451401359007693,0,-17893.440113335255,-6.907755278982138
7,fc6,combined,nocost,27.37600761478394,7.675572045286981,0.14451401359007693,0,-17893.142585508915,-6.907755278982138
8,fc6,combined,nocost,29.21352471301807,7.675572045286981,0.14451401359007693,0,-17894.812177391505,-5.115995809754082
9,fc6,combined,nocost,27.738558222542515,7.675572045286981,0.14451401359007693,0,-17892.598179100885,-6.907755278982138
10,fc6,combined,nocost,26.93822536780817,7.675572045286981,0.14451401359007693,0,-17894.397569997032,-5.809142990314027
11,fc6,combined,nocost,28.307722850425108,7.675572045286981,0.14451401359007693,0,-17892.62466488434,-5.521460917862246
12,fc6,combined,nocost,28.307722850425108,7.675572045286981,0.1453616473975858,0,-17892.83435193007,-6.214608098422191
13,fc6,combined,nocost,28.307722850425108,7.14156309742989,0.1453616473975858,0,-17892.823552996473,-5.521460917862246
14,fc6,combined,nocost,29.042390398017798,7.14156309742989,0.1453616473975858,0,-17892.782805903684,-5.809142990314027
15,fc6,combined,nocost,29.147147873053132,7.14156309742989,0.1453616473975858,0,-17892.913605326026,-5.115995809754082
16,fc6,combined,nocost,29.147147873053132,7.278352932289969,0.1453616473975858,0,-17893.001529756173,-5.521460917862246
17,fc6,combined,nocost,28.745582994957985,7.278352932289969,0.1453616473975858,0,-17892.443659640503,-6.907755278982138
18,fc6,combined,nocost,28.466547357155648,7.278352932289969,0.1453616473975858,0,-17892.352611876035,-5.298317366548036
19,fc6,combined,nocost,28.466547357155648,7.278352932289969,0.13597280634296482,0,-17892.909753004682,-5.809142990314027
20,fc6,combined,nocost,28.466547357155648,7.278352932289969,0.1524796383384357,0,-17893.376054407287,-6.907755278982138
21,fc6,combined,nocost,28.466547357155648,7.8819808062154735,0.1524796383384357,0,-17897.996258580013,-6.214608098422191
22,fc6,combined,nocost,27.23379803845441,7.8819808062154735,0.1524796383384357,0,-17895.615905227623,-5.521460917862246
23,fc6,combined,nocost,26.41616726409555,7.8819808062154735,0.1524796383384357,0,-17896.92184995535,-6.214608098422191
24,fc6,combined,nocost,28.286346615640863,7.8819808062154735,0.1524796383384357,0,-17897.33342104557,-6.214608098422191
25,fc6,combined,nocost,28.286346615640863,7.350774748754578,0.1524796383384357,0,-17893.41500500838,-5.298317366548036
26,fc6,combined,nocost,28.286346615640863,6.789113243108384,0.1524796383384357,0,-17894.228542052497,-6.214608098422191
27,fc6,combined,nocost,27.610435176639538,6.789113243108384,0.1524796383384357,0,-17896.134265230878,-5.521460917862246
28,fc6,combined,nocost,27.58488364814671,6.789113243108384,0.1524796383384357,0,-17896.23566364067,-6.907755278982138
29,fc6,combined,nocost,27.58488364814671,7.2246377492498945,0.1524796383384357,0,-17893.768890988853,-6.907755278982138
30,fc6,combined,nocost,28.819580886722427,7.2246377492498945,0.1524796383384357,0,-17893.744008685095,-5.809142990314027
31,fc6,combined,nocost,28.872460958506757,7.2246377492498945,0.1524796383384357,0,-17893.851816045702,-6.907755278982138
32,fc6,combined,nocost,28.872460958506757,7.284091000995136,0.1524796383384357,0,-17894.107310224495,-6.214608098422191
33,fc6,combined,nocost,28.276494687839236,7.284091000995136,0.1524796383384357,0,-17893.237744766077,-4.961845129926823
34,fc6,combined,nocost,29.030979203050123,7.284091000995136,0.1524796383384357,0,-17894.526913415946,-6.907755278982138
35,fc6,combined,nocost,28.16859356803159,7.284091000995136,0.1524796383384357,0,-17893.20179103634,-6.907755278982138
36,fc6,combined,nocost,28.16859356803159,6.658860044727341,0.1524796383384357,0,-17895.45069411979,-5.115995809754082
37,fc6,combined,nocost,29.110952974262524,6.658860044727341,0.1524796383384357,0,-17894.317608810157,-6.907755278982138
38,fc6,combined,nocost,27.74481821739078,6.658860044727341,0.1524796383384357,0,-17896.878911867232,-6.907755278982138
39,fc6,combined,nocost,27.74481821739078,6.425523304190576,0.1524796383384357,0,-17899.80037464084,-5.298317366548036
40,fc6,combined,nocost,28.689598321781613,6.425523304190576,0.1524796383384357,0,-17896.431159061212,-6.907755278982138
41,fc6,combined,nocost,28.163115465797443,6.425523304190576,0.1524796383384357,0,-17897.958304065596,-6.214608098422191
42,fc6,combined,nocost,28.00795924859105,6.425523304190576,0.1524796383384357,0,-17898.575785234603,-5.115995809754082
43,fc6,combined,nocost,29.980156071343234,6.425523304190576,0.1524796383384357,0,-17896.26925166188,-6.907755278982138
44,fc6,combined,nocost,29.980156071343234,7.1037795574283535,0.1524796383384357,0,-17897.109195540324,-6.907755278982138
45,fc6,combined,nocost,28.78335938471564,7.1037795574283535,0.1524796383384357,0,-17893.385067962798,-6.214608098422191
46,fc6,combined,nocost,28.860018385277804,7.1037795574283535,0.1524796383384357,0,-17893.492370193624,-5.521460917862246
47,fc6,combined,nocost,28.663101479314516,7.1037795574283535,0.1524796383384357,0,-17893.253793634467,-6.214608098422191
48,fc6,combined,nocost,28.663101479314516,7.096701492440689,0.1524796383384357,0,-17893.248188146434,-6.214608098422191
49,fc6,combined,nocost,28.663101479314516,7.068283033169398,0.1524796383384357,0,-17893.233973265276,-6.214608098422191
50,fc6,combined,nocost,28.663101479314516,6.833306223737305,0.1524796383384357,0,-17893.6268450342,-5.298317366548036
51,fc6,combined,nocost,28.626539639591087,6.833306223737305,0.1524796383384357,0,-17893.64124716478,-6.214608098422191
52,fc6,combined,nocost,28.870004301663307,6.833306223737305,0.1524796383384357,0,-17893.623913201,-5.521460917862246
53,fc6,combined,nocost,28.870004301663307,7.146018518543007,0.1524796383384357,0,-17893.598810000633,-6.907755278982138
54,fc6,combined,nocost,28.631938478398084,7.146018518543007,0.1524796383384357,0,-17893.27164801619,-4.8283137373023015
55,fc6,combined,nocost,28.631938478398084,7.202032302766229,0.1524796383384357,0,-17893.37570525141,-6.907755278982138
56,fc6,combined,nocost,28.631938478398084,7.3317739788909195,0.1524796383384357,0,-17893.813644098558,-6.214608098422191
57,fc6,combined,nocost,28.631938478398084,6.722265605853265,0.1524796383384357,0,-17894.158435038436,-6.214608098422191
58,fc6,combined,nocost,28.631938478398084,6.974710727783173,0.1524796383384357,0,-17893.273059061692,-6.907755278982138
59,fc6,combined,nocost,28.631938478398084,6.983738176066222,0.1524796383384357,0,-17893.260926587125,-5.809142990314027
60,fc6,combined,nocost,28.631938478398084,6.983738176066222,0.14132270917145784,0,-17893.706120881234,-6.214608098422191
61,fc6,combined,nocost,28.97147118023068,6.983738176066222,0.14132270917145784,0,-17893.38004584931,-6.907755278982138
62,fc6,combined,nocost,28.97147118023068,7.6228048017470815,0.14132270917145784,0,-17892.746990542495,-5.298317366548036
63,fc6,combined,nocost,28.835934320717822,7.6228048017470815,0.14132270917145784,0,-17892.468447146726,-6.214608098422191
64,fc6,combined,nocost,28.835934320717822,7.6585109727700225,0.14132270917145784,0,-17892.592426216797,-6.214608098422191
65,fc6,combined,nocost,28.14337248558112,7.6585109727700225,0.14132270917145784,0,-17891.968969466667,-5.809142990314027
66,fc6,combined,nocost,28.934180461076203,7.6585109727700225,0.14132270917145784,0,-17892.803804500476,-6.907755278982138
67,fc6,combined,nocost,28.934180461076203,7.6344633161948465,0.14132270917145784,0,-17892.708004088083,-6.907755278982138
68,fc6,combined,nocost,28.32437963043867,7.6344633161948465,0.14132270917145784,0,-17891.95119539915,-5.521460917862246
