id,perception,pragmatics,production,alpha,simScaling,pragWeight,costWeight,logLikelihood,posteriorProb
0,fc6,combined,cost,28.99460428075129,7.506813906133175,0.13961484567262256,0.013224205686813827,-17886.600907345433,-5.521460917862246
1,fc6,combined,cost,29.86885944300456,7.506813906133175,0.13961484567262256,0.013224205686813827,-17887.757243704364,-6.907755278982138
2,fc6,combined,cost,28.995083095094408,7.506813906133175,0.13961484567262256,0.013224205686813827,-17886.60090952892,-5.809142990314027
3,fc6,combined,cost,28.870614511226613,7.506813906133175,0.13961484567262256,0.013224205686813827,-17886.62404203238,-5.809142990314027
4,fc6,combined,cost,28.870614511226613,7.565389591734856,0.13961484567262256,0.013224205686813827,-17886.579078765488,-5.521460917862246
5,fc6,combined,cost,29.70780300966269,7.565389591734856,0.13961484567262256,0.013224205686813827,-17887.531484507766,-6.214608098422191
6,fc6,combined,cost,29.56645739502863,7.565389591734856,0.13961484567262256,0.013224205686813827,-17887.222907783245,-5.809142990314027
7,fc6,combined,cost,29.581389453772047,7.565389591734856,0.13961484567262256,0.013224205686813827,-17887.252706052288,-5.809142990314027
8,fc6,combined,cost,29.758163649518103,7.565389591734856,0.13961484567262256,0.013224205686813827,-17887.65570742437,-5.809142990314027
9,fc6,combined,cost,28.34544693089456,7.565389591734856,0.13961484567262256,0.013224205686813827,-17887.08059278399,-6.907755278982138
10,fc6,combined,cost,28.34544693089456,7.535138749983162,0.13961484567262256,0.013224205686813827,-17887.162864482318,-5.298317366548036
11,fc6,combined,cost,28.965844650827865,7.535138749983162,0.13961484567262256,0.013224205686813827,-17886.585202983715,-6.214608098422191
12,fc6,combined,cost,28.965844650827865,7.535138749983162,0.13961484567262256,0.012014516754510452,-17886.69971459796,-5.809142990314027
13,fc6,combined,cost,28.251104579621572,7.535138749983162,0.13961484567262256,0.012014516754510452,-17887.38955664623,-6.214608098422191
14,fc6,combined,cost,28.251104579621572,7.535138749983162,0.14338325578719402,0.012014516754510452,-17887.38919890244,-6.214608098422191
15,fc6,combined,cost,27.885507461882337,7.535138749983162,0.14338325578719402,0.012014516754510452,-17888.133254607335,-5.115995809754082
16,fc6,combined,cost,27.885507461882337,7.682532614096999,0.14338325578719402,0.012014516754510452,-17887.900426553337,-5.809142990314027
17,fc6,combined,cost,29.287999986007023,7.682532614096999,0.14338325578719402,0.012014516754510452,-17888.235583727328,-6.907755278982138
18,fc6,combined,cost,29.287999986007023,7.682532614096999,0.14338325578719402,0.0078107936770443935,-17889.57149868944,-5.809142990314027
19,fc6,combined,cost,29.287999986007023,7.682532614096999,0.14338325578719402,0.018509792808657284,-17888.058823369804,-4.961845129926823
20,fc6,combined,cost,29.287999986007023,7.069674579426646,0.14338325578719402,0.018509792808657284,-17888.082802112487,-6.907755278982138
21,fc6,combined,cost,29.287999986007023,7.069674579426646,0.14338325578719402,0.010237838087463076,-17887.965881559147,-4.8283137373023015
22,fc6,combined,cost,29.287999986007023,7.069674579426646,0.14338325578719402,0.01426744866756594,-17887.56340950209,-6.907755278982138
23,fc6,combined,cost,29.287999986007023,7.069674579426646,0.1431905710138383,0.01426744866756594,-17887.57295067201,-6.907755278982138
24,fc6,combined,cost,28.939271162026955,7.069674579426646,0.1431905710138383,0.01426744866756594,-17887.905168215653,-4.3428059215206005
25,fc6,combined,cost,28.939271162026955,7.279261766932905,0.1431905710138383,0.01426744866756594,-17887.056462703542,-5.809142990314027
26,fc6,combined,cost,29.071131895017203,7.279261766932905,0.1431905710138383,0.01426744866756594,-17887.002611327076,-4.961845129926823
27,fc6,combined,cost,29.071131895017203,7.26514104148373,0.1431905710138383,0.01426744866756594,-17887.03105989722,-5.115995809754082
28,fc6,combined,cost,28.836032987149878,7.26514104148373,0.1431905710138383,0.01426744866756594,-17887.17816838781,-6.214608098422191
29,fc6,combined,cost,29.06342353954977,7.26514104148373,0.1431905710138383,0.01426744866756594,-17887.033204422973,-5.298317366548036
30,fc6,combined,cost,29.06342353954977,7.26514104148373,0.13771053180098558,0.01426744866756594,-17887.307748467665,-4.605170185988091
31,fc6,combined,cost,29.428399271542716,7.26514104148373,0.13771053180098558,0.01426744866756594,-17887.081183733157,-4.710530701645918
32,fc6,combined,cost,29.428399271542716,7.775126753374933,0.13771053180098558,0.01426744866756594,-17887.109037456168,-5.521460917862246
33,fc6,combined,cost,29.428399271542716,7.775126753374933,0.13771053180098558,0.014276599035207478,-17887.108383394858,-5.521460917862246
34,fc6,combined,cost,29.428399271542716,7.775126753374933,0.13771053180098558,0.017709552447947904,-17887.181485252164,-4.422848629194137
35,fc6,combined,cost,29.428399271542716,7.637895901221782,0.13771053180098558,0.017709552447947904,-17886.87123322075,-5.809142990314027
36,fc6,combined,cost,29.86630924440425,7.637895901221782,0.13771053180098558,0.017709552447947904,-17887.65572199091,-6.907755278982138
37,fc6,combined,cost,29.86630924440425,7.5292919795028865,0.13771053180098558,0.017709552447947904,-17887.408728219674,-5.809142990314027
38,fc6,combined,cost,29.86630924440425,7.5292919795028865,0.13771053180098558,0.009637124879225191,-17888.29978844456,-4.8283137373023015
39,fc6,combined,cost,28.958591913522696,7.5292919795028865,0.13771053180098558,0.009637124879225191,-17887.04122148316,-6.907755278982138
40,fc6,combined,cost,28.958591913522696,7.5292919795028865,0.13434357969090366,0.009637124879225191,-17887.08657806644,-6.907755278982138
41,fc6,combined,cost,28.958591913522696,7.561283422634005,0.13434357969090366,0.009637124879225191,-17886.9998989219,-6.214608098422191
42,fc6,combined,cost,28.958591913522696,7.807471591513604,0.13434357969090366,0.009637124879225191,-17886.809630016676,-5.809142990314027
43,fc6,combined,cost,28.958591913522696,7.538315817248076,0.13434357969090366,0.009637124879225191,-17887.06068123235,-6.214608098422191
44,fc6,combined,cost,29.474659095946237,7.538315817248076,0.13434357969090366,0.009637124879225191,-17887.195548774198,-6.907755278982138
45,fc6,combined,cost,29.20291383587452,7.538315817248076,0.13434357969090366,0.009637124879225191,-17887.024121265487,-5.521460917862246
46,fc6,combined,cost,29.20291383587452,7.538315817248076,0.13457939843647204,0.009637124879225191,-17887.021875006092,-6.907755278982138
47,fc6,combined,cost,29.20291383587452,7.848598690703511,0.13457939843647204,0.009637124879225191,-17887.164961953193,-6.907755278982138
