id,perception,pragmatics,production,simScaling,pragWeight,costWeight,infWeight,logLikelihood,posteriorProb
0,human_full25k,S0,cost,1,0,2.0326984750432957,6.274652158111152,-2469.279375691949,-6.907755278982137
1,human_full25k,S0,cost,1,0,2.0326984750432957,6.260630646366948,-2469.0796660612355,-6.907755278982137
2,human_full25k,S0,cost,1,0,2.0326984750432957,6.247305367970128,-2468.8996924729236,-6.214608098422191
3,human_full25k,S0,cost,1,0,1.994537139779189,6.247305367970128,-2468.794816554097,-6.907755278982137
4,human_full25k,S0,cost,1,0,1.9864028500238158,6.247305367970128,-2468.774112266298,-6.907755278982137
5,human_full25k,S0,cost,1,0,1.9864028500238158,6.320863991607759,-2469.904682759058,-6.907755278982137
6,human_full25k,S0,cost,1,0,1.9864028500238158,6.31569077809184,-2469.8157075973136,-6.907755278982137
7,human_full25k,S0,cost,1,0,2.0248179369176733,6.31569077809184,-2469.9046454693603,-6.907755278982137
8,human_full25k,S0,cost,1,0,2.0293696200908196,6.31569077809184,-2469.9160420304306,-6.907755278982137
9,human_full25k,S0,cost,1,0,2.0293696200908196,6.311634488938189,-2469.848198081334,-6.907755278982137
10,human_full25k,S0,cost,1,0,2.0293696200908196,6.226440320220464,-2468.62714942878,-6.907755278982137
11,human_full25k,S0,cost,1,0,2.0293696200908196,6.230218652000136,-2468.6730051285426,-6.907755278982137
12,human_full25k,S0,cost,1,0,2.0293696200908196,6.207391568480551,-2468.407777558028,-6.214608098422191
13,human_full25k,S0,cost,1,0,2.0293696200908196,6.133836864330593,-2467.746959670284,-6.907755278982137
14,human_full25k,S0,cost,1,0,2.0293696200908196,6.095825628176393,-2467.522448468112,-6.907755278982137
15,human_full25k,S0,cost,1,0,2.0293696200908196,6.029886224203009,-2467.324270014724,-6.907755278982137
16,human_full25k,S0,cost,1,0,1.9501436229997706,6.029886224203009,-2467.0313552352486,-6.907755278982137
17,human_full25k,S0,cost,1,0,1.8858808035877517,6.029886224203009,-2466.8341269177954,-6.907755278982137
18,human_full25k,S0,cost,1,0,1.8858808035877517,5.964151114364817,-2466.8302712482737,-6.907755278982137
19,human_full25k,S0,cost,1,0,1.8858808035877517,6.0559813093978185,-2466.9034212471024,-6.907755278982137
20,human_full25k,S0,cost,1,0,1.9333443089656137,6.0559813093978185,-2467.0389307251603,-6.907755278982137
21,human_full25k,S0,cost,1,0,1.9333443089656137,6.107420995017334,-2467.2741878566007,-6.907755278982137
22,human_full25k,S0,cost,1,0,1.9006047707773948,6.107420995017334,-2467.1876171551557,-6.907755278982137
23,human_full25k,S0,cost,1,0,1.9006047707773948,6.058584463753676,-2466.952133540169,-6.907755278982137
24,human_full25k,S0,cost,1,0,1.8600250566005672,6.058584463753676,-2466.8473806596053,-6.214608098422191
25,human_full25k,S0,cost,1,0,1.8600250566005672,5.967618761464171,-2466.7466175648688,-6.214608098422191
26,human_full25k,S0,cost,1,0,1.8600250566005672,6.05807083708221,-2466.84550079109,-6.907755278982137
27,human_full25k,S0,cost,1,0,1.9019802490399687,6.05807083708221,-2466.9541763745847,-6.214608098422191
28,human_full25k,S0,cost,1,0,1.9019802490399687,6.022336695605626,-2466.8678792763694,-6.214608098422191
29,human_full25k,S0,cost,1,0,1.8110625047195434,6.022336695605626,-2466.6347266119365,-6.214608098422191
30,human_full25k,S0,cost,1,0,1.7812889114733546,6.022336695605626,-2466.5744588197317,-6.907755278982137
31,human_full25k,S0,cost,1,0,1.7812889114733546,5.960535089277526,-2466.5555026522047,-6.907755278982137
32,human_full25k,S0,cost,1,0,1.7389256376680362,5.960535089277526,-2466.469346561379,-6.907755278982137
33,human_full25k,S0,cost,1,0,1.7615408130040549,5.960535089277526,-2466.513320529637,-6.907755278982137
34,human_full25k,S0,cost,1,0,1.7404989977322072,5.960535089277526,-2466.4722557939835,-6.907755278982137
35,human_full25k,S0,cost,1,0,1.75400624476498,5.960535089277526,-2466.4981553056737,-6.907755278982137
36,human_full25k,S0,cost,1,0,1.75400624476498,6.025350192172632,-2466.5331723760123,-6.907755278982137
37,human_full25k,S0,cost,1,0,1.75400624476498,6.028218006436971,-2466.5402227433956,-6.907755278982137
38,human_full25k,S0,cost,1,0,1.75400624476498,5.998321061032164,-2466.48957035258,-6.907755278982137
39,human_full25k,S0,cost,1,0,1.75400624476498,5.954379417297277,-2466.5072679899745,-6.214608098422191
40,human_full25k,S0,cost,1,0,1.75400624476498,6.01329837679821,-2466.508622687988,-6.907755278982137
41,human_full25k,S0,cost,1,0,1.7462415575373416,6.01329837679821,-2466.4957590270524,-6.907755278982137
42,human_full25k,S0,cost,1,0,1.7462415575373416,6.0589727189103915,-2466.6340195394296,-6.907755278982137
43,human_full25k,S0,cost,1,0,1.7462415575373416,5.9778747341348275,-2466.469760753232,-6.907755278982137
44,human_full25k,S0,cost,1,0,1.7462415575373416,5.9403300040523295,-2466.520247539195,-6.214608098422191
45,human_full25k,S0,cost,1,0,1.72542474983962,5.9403300040523295,-2466.4802014195657,-6.907755278982137
46,human_full25k,S0,cost,1,0,1.755569636777623,5.9403300040523295,-2466.539466971392,-6.907755278982137
47,human_full25k,S0,cost,1,0,1.8163652182134626,5.9403300040523295,-2466.6839466517686,-6.907755278982137
48,human_full25k,S0,cost,1,0,1.9131493954995256,5.9403300040523295,-2466.9820019043295,-6.907755278982137
49,human_full25k,S0,cost,1,0,1.938305105362077,5.9403300040523295,-2467.0730054039655,-6.907755278982137
50,human_full25k,S0,cost,1,0,1.938305105362077,6.003201730448548,-2466.9686702003078,-6.907755278982137
51,human_full25k,S0,cost,1,0,1.938305105362077,6.017659570704691,-2466.9764687858496,-6.907755278982137
52,human_full25k,S0,cost,1,0,1.9738562254287628,6.017659570704691,-2467.099798603176,-6.214608098422191
53,human_full25k,S0,cost,1,0,1.8857588065900792,6.017659570704691,-2466.8145170901494,-6.907755278982137
54,human_full25k,S0,cost,1,0,1.8857588065900792,6.060496301189916,-2466.9189754555796,-6.907755278982137
55,human_full25k,S0,cost,1,0,1.7894698408417973,6.060496301189916,-2466.7081422443875,-6.907755278982137
56,human_full25k,S0,cost,1,0,1.7894698408417973,6.030836267113372,-2466.6093876565187,-6.907755278982137
57,human_full25k,S0,cost,1,0,1.8801128084690757,6.030836267113372,-2466.8200883646505,-6.907755278982137
58,human_full25k,S0,cost,1,0,1.9566830572509728,6.030836267113372,-2467.054950368585,-6.907755278982137
59,human_full25k,S0,cost,1,0,2.007544043946544,6.030836267113372,-2467.239364133834,-6.907755278982137
60,human_full25k,S0,cost,1,0,2.007544043946544,6.114155522359461,-2467.5443518093116,-6.907755278982137
61,human_full25k,S0,cost,1,0,2.007544043946544,6.066450778955524,-2467.3221701798566,-6.907755278982137
62,human_full25k,S0,cost,1,0,2.0387625435906154,6.066450778955524,-2467.4405700984585,-6.907755278982137
63,human_full25k,S0,cost,1,0,1.987705363272363,6.066450778955524,-2467.251325764891,-6.907755278982137
64,human_full25k,S0,cost,1,0,1.8936130214964837,6.066450778955524,-2466.962259492029,-6.907755278982137
65,human_full25k,S0,cost,1,0,1.9465075151876206,6.066450778955524,-2467.1151823088753,-6.907755278982137
66,human_full25k,S0,cost,1,0,1.9465075151876206,6.1344491802664125,-2467.4924049400224,-6.907755278982137
67,human_full25k,S0,cost,1,0,1.9465075151876206,6.065605536653974,-2467.1121163488338,-6.907755278982137
68,human_full25k,S0,cost,1,0,1.9465075151876206,6.123768939375747,-2467.4161456567685,-6.907755278982137
69,human_full25k,S0,cost,1,0,1.9465075151876206,6.100181840166941,-2467.2701383880003,-6.907755278982137
70,human_full25k,S0,cost,1,0,1.851446976790804,6.100181840166941,-2467.030295359619,-6.907755278982137
71,human_full25k,S0,cost,1,0,1.851446976790804,6.051276803434336,-2466.801423880977,-6.907755278982137
72,human_full25k,S0,cost,1,0,1.8137633448262527,6.051276803434336,-2466.718707648169,-6.907755278982137
73,human_full25k,S0,cost,1,0,1.8188573789562106,6.051276803434336,-2466.729144595449,-6.907755278982137
74,human_full25k,S0,cost,1,0,1.8266616175308066,6.051276803434336,-2466.745586500892,-6.907755278982137
75,human_full25k,S0,cost,1,0,1.8604505899485144,6.051276803434336,-2466.8230674291,-6.907755278982137
76,human_full25k,S0,cost,1,0,1.826189785729775,6.051276803434336,-2466.7445769216697,-6.907755278982137
77,human_full25k,S0,cost,1,0,1.8695289133289963,6.051276803434336,-2466.845622419039,-6.907755278982137
78,human_full25k,S0,cost,1,0,1.8144591938305927,6.051276803434336,-2466.7201195863663,-6.907755278982137
79,human_full25k,S0,cost,1,0,1.7335404915114179,6.051276803434336,-2466.5852606416233,-6.907755278982137
80,human_full25k,S0,cost,1,0,1.7463763871281175,6.051276803434336,-2466.602687877563,-6.907755278982137
81,human_full25k,S0,cost,1,0,1.6476833177304322,6.051276803434336,-2466.5075323401666,-6.907755278982137
82,human_full25k,S0,cost,1,0,1.5799247334440951,6.051276803434336,-2466.4943876791176,-6.907755278982137
83,human_full25k,S0,cost,1,0,1.4816629798950962,6.051276803434336,-2466.5520389543276,-6.907755278982137
84,human_full25k,S0,cost,1,0,1.4156549066584607,6.051276803434336,-2466.642484701642,-6.907755278982137
85,human_full25k,S0,cost,1,0,1.4156549066584607,5.990588502143335,-2466.400437272772,-6.907755278982137
86,human_full25k,S0,cost,1,0,1.3370640861976888,5.990588502143335,-2466.5364814877644,-6.907755278982137
87,human_full25k,S0,cost,1,0,1.2984358980103428,5.990588502143335,-2466.6254592512437,-6.907755278982137
88,human_full25k,S0,cost,1,0,1.3572520101442838,5.990588502143335,-2466.4957986688923,-6.907755278982137
89,human_full25k,S0,cost,1,0,1.3572520101442838,6.00306490064254,-2466.5326157575623,-6.907755278982137
90,human_full25k,S0,cost,1,0,1.4136224931369683,6.00306490064254,-2466.4360899006833,-6.907755278982137
91,human_full25k,S0,cost,1,0,1.4101781843446999,6.00306490064254,-2466.4411041936523,-6.907755278982137
92,human_full25k,S0,cost,1,0,1.4101781843446999,6.040761325872403,-2466.5947290733598,-6.907755278982137
93,human_full25k,S0,cost,1,0,1.4101781843446999,6.071480386055571,-2466.7790927426017,-6.907755278982137
94,human_full25k,S0,cost,1,0,1.341744298141391,6.071480386055571,-2466.9287505508205,-6.907755278982137
95,human_full25k,S0,cost,1,0,1.341744298141391,5.992695343233712,-2466.532475053022,-6.907755278982137
96,human_full25k,S0,cost,1,0,1.2972525040758016,5.992695343233712,-2466.6347228248837,-6.907755278982137
97,human_full25k,S0,cost,1,0,1.2972525040758016,5.99116057106158,-2466.6301041704774,-6.907755278982137
98,human_full25k,S0,cost,1,0,1.2972525040758016,5.950532462578577,-2466.5566324759743,-6.907755278982137
99,human_full25k,S0,cost,1,0,1.3958195651507044,5.950532462578577,-2466.3794452182337,-6.907755278982137
100,human_full25k,S0,cost,1,0,1.3958195651507044,5.938993752805952,-2466.382151418324,-6.907755278982137
101,human_full25k,S0,cost,1,0,1.3958195651507044,5.991136802240799,-2466.430430192603,-6.907755278982137
102,human_full25k,S0,cost,1,0,1.3958195651507044,5.9922649510543256,-2466.433187780956,-6.907755278982137
103,human_full25k,S0,cost,1,0,1.445719003935603,5.9922649510543256,-2466.3678085043002,-6.907755278982137
104,human_full25k,S0,cost,1,0,1.4318894313065227,5.9922649510543256,-2466.3835252708286,-6.907755278982137
105,human_full25k,S0,cost,1,0,1.3955059555949232,5.9922649510543256,-2466.433674707894,-6.907755278982137
106,human_full25k,S0,cost,1,0,1.4281763309874975,5.9922649510543256,-2466.388058229729,-6.907755278982137
107,human_full25k,S0,cost,1,0,1.4746304079034123,5.9922649510543256,-2466.340875878027,-6.907755278982137
108,human_full25k,S0,cost,1,0,1.4746304079034123,5.918172776604571,-2466.346557422509,-6.907755278982137
109,human_full25k,S0,cost,1,0,1.4746304079034123,5.874778730113407,-2466.4964370899174,-6.907755278982137
110,human_full25k,S0,cost,1,0,1.4021458859124047,5.874778730113407,-2466.5317614422397,-6.907755278982137
111,human_full25k,S0,cost,1,0,1.4021458859124047,5.9181526278128915,-2466.399409234895,-6.907755278982137
112,human_full25k,S0,cost,1,0,1.3877169309093544,5.9181526278128915,-2466.4159468829976,-6.907755278982137
113,human_full25k,S0,cost,1,0,1.3333687095969462,5.9181526278128915,-2466.4963549057534,-6.907755278982137
114,human_full25k,S0,cost,1,0,1.408615208955896,5.9181526278128915,-2466.392646716889,-6.907755278982137
115,human_full25k,S0,cost,1,0,1.471052421854308,5.9181526278128915,-2466.3480299053163,-6.907755278982137
116,human_full25k,S0,cost,1,0,1.4563865918483174,5.9181526278128915,-2466.3551583995163,-6.907755278982137
117,human_full25k,S0,cost,1,0,1.4392112162653046,5.9181526278128915,-2466.3661179036203,-6.907755278982137
118,human_full25k,S0,cost,1,0,1.3787683743299912,5.9181526278128915,-2466.4272143146804,-6.907755278982137
119,human_full25k,S0,cost,1,0,1.3563599176990266,5.9181526278128915,-2466.4588353441227,-6.907755278982137
120,human_full25k,S0,cost,1,0,1.3563599176990266,5.896249244597986,-2466.5064719856105,-6.907755278982137
121,human_full25k,S0,cost,1,0,1.4208465568832176,5.896249244597986,-2466.436482945059,-6.907755278982137
122,human_full25k,S0,cost,1,0,1.5017162462989488,5.896249244597986,-2466.4050920302243,-6.907755278982137
123,human_full25k,S0,cost,1,0,1.404057100264332,5.896249244597986,-2466.4508409712316,-6.907755278982137
124,human_full25k,S0,cost,1,0,1.4245868125273309,5.896249244597986,-2466.4336532963694,-6.907755278982137
125,human_full25k,S0,cost,1,0,1.5214791207861122,5.896249244597986,-2466.406862681377,-6.214608098422191
126,human_full25k,S0,cost,1,0,1.4856661978295773,5.896249244597986,-2466.406372029806,-6.907755278982137
127,human_full25k,S0,cost,1,0,1.541498268341789,5.896249244597986,-2466.412409227347,-6.907755278982137
128,human_full25k,S0,cost,1,0,1.5152799494272235,5.896249244597986,-2466.4059103942573,-6.907755278982137
129,human_full25k,S0,cost,1,0,1.4644777919086107,5.896249244597986,-2466.4118059376183,-6.907755278982137
130,human_full25k,S0,cost,1,0,1.3700970306715325,5.896249244597986,-2466.4881918338488,-6.907755278982137
131,human_full25k,S0,cost,1,0,1.4330675986619241,5.896249244597986,-2466.4277343562762,-6.907755278982137
132,human_full25k,S0,cost,1,0,1.4330675986619241,5.972307399294253,-2466.3481638881703,-6.907755278982137
133,human_full25k,S0,cost,1,0,1.4330675986619241,5.989923307441204,-2466.376957768519,-6.907755278982137
134,human_full25k,S0,cost,1,0,1.451417061265067,5.989923307441204,-2466.356949154679,-6.214608098422191
135,human_full25k,S0,cost,1,0,1.451417061265067,5.99077547941729,-2466.3587028233947,-6.907755278982137
136,human_full25k,S0,cost,1,0,1.451417061265067,5.975221514837818,-2466.333198961345,-6.907755278982137
137,human_full25k,S0,cost,1,0,1.5051792710210612,5.975221514837818,-2466.2975018827665,-6.907755278982137
138,human_full25k,S0,cost,1,0,1.4414476398959082,5.975221514837818,-2466.342853709025,-6.907755278982137
139,human_full25k,S0,cost,1,0,1.4414476398959082,6.029754968000412,-2466.495606424705,-6.907755278982137
140,human_full25k,S0,cost,1,0,1.52148542705836,6.029754968000412,-2466.420651956935,-6.907755278982137
141,human_full25k,S0,cost,1,0,1.52148542705836,6.053500347453818,-2466.5291523645083,-6.907755278982137
142,human_full25k,S0,cost,1,0,1.52148542705836,6.013766556378397,-2466.365504360339,-6.907755278982137
143,human_full25k,S0,cost,1,0,1.4943579583038389,6.013766556378397,-2466.381660316559,-6.907755278982137
144,human_full25k,S0,cost,1,0,1.5621582935773062,6.013766556378397,-2466.354332015534,-6.907755278982137
145,human_full25k,S0,cost,1,0,1.617575265664355,6.013766556378397,-2466.3641210758915,-6.907755278982137
146,human_full25k,S0,cost,1,0,1.617575265664355,5.915364159173789,-2466.3969132711727,-6.907755278982137
147,human_full25k,S0,cost,1,0,1.617575265664355,5.860846184681704,-2466.6546398715027,-6.907755278982137
148,human_full25k,S0,cost,1,0,1.617575265664355,5.877422106163401,-2466.5580588950424,-6.907755278982137
149,human_full25k,S0,cost,1,0,1.6069204254563978,5.877422106163401,-2466.54597066177,-6.907755278982137
150,human_full25k,S0,cost,1,0,1.6069204254563978,5.920946776141622,-2466.3706752587927,-6.907755278982137
151,human_full25k,S0,cost,1,0,1.5345887987489575,5.920946776141622,-2466.333877119966,-6.907755278982137
152,human_full25k,S0,cost,1,0,1.5345887987489575,5.987849116393827,-2466.303427411461,-6.907755278982137
153,human_full25k,S0,cost,1,0,1.5345887987489575,5.977182573934936,-2466.2911459000265,-6.907755278982137
154,human_full25k,S0,cost,1,0,1.622557493370856,5.977182573934936,-2466.315072449575,-6.907755278982137
155,human_full25k,S0,cost,1,0,1.622557493370856,6.020486826862073,-2466.384084324936,-6.907755278982137
156,human_full25k,S0,cost,1,0,1.6958268752502021,6.020486826862073,-2466.441535105512,-6.907755278982137
157,human_full25k,S0,cost,1,0,1.6958268752502021,6.038903520785204,-2466.4956687143927,-6.907755278982137
158,human_full25k,S0,cost,1,0,1.6958268752502021,5.9466308527137235,-2466.417678104355,-6.907755278982137
159,human_full25k,S0,cost,1,0,1.6958268752502021,6.045893766411099,-2466.5212200109395,-6.907755278982137
160,human_full25k,S0,cost,1,0,1.6644851679817891,6.045893766411099,-2466.4949271960204,-6.907755278982137
161,human_full25k,S0,cost,1,0,1.636067457129775,6.045893766411099,-2466.478932171466,-6.907755278982137
162,human_full25k,S0,cost,1,0,1.636067457129775,6.11703868310198,-2466.917898600881,-6.907755278982137
163,human_full25k,S0,cost,1,0,1.5451049698665928,6.11703868310198,-2466.952914719991,-6.907755278982137
164,human_full25k,S0,cost,1,0,1.6373956779802954,6.11703868310198,-2466.917961562891,-6.907755278982137
165,human_full25k,S0,cost,1,0,1.569519143200258,6.11703868310198,-2466.935873576316,-6.907755278982137
166,human_full25k,S0,cost,1,0,1.569519143200258,6.022610701908702,-2466.3803515341983,-6.907755278982137
167,human_full25k,S0,cost,1,0,1.569519143200258,6.116776055790311,-2466.9336385494853,-6.907755278982137
168,human_full25k,S0,cost,1,0,1.600780283452131,6.116776055790311,-2466.9200683401887,-6.907755278982137
169,human_full25k,S0,cost,1,0,1.600780283452131,6.148414344669289,-2467.2113462612547,-6.907755278982137
170,human_full25k,S0,cost,1,0,1.600780283452131,6.0720546676717415,-2466.603113902366,-6.907755278982137
171,human_full25k,S0,cost,1,0,1.600780283452131,5.97896351413035,-2466.303363607964,-6.907755278982137
172,human_full25k,S0,cost,1,0,1.600780283452131,6.038314378818522,-2466.437991014783,-6.907755278982137
173,human_full25k,S0,cost,1,0,1.6447718745214828,6.038314378818522,-2466.453341484608,-6.907755278982137
174,human_full25k,S0,cost,1,0,1.5626539669449557,6.038314378818522,-2466.4393124705985,-6.907755278982137
175,human_full25k,S0,cost,1,0,1.5626539669449557,5.978144216711256,-2466.291597041413,-6.907755278982137
176,human_full25k,S0,cost,1,0,1.5626539669449557,6.0021671048573895,-2466.325970137829,-6.907755278982137
177,human_full25k,S0,cost,1,0,1.5017755723996271,6.0021671048573895,-2466.3443246759957,-6.907755278982137
178,human_full25k,S0,cost,1,0,1.4669462469943517,6.0021671048573895,-2466.370638479323,-6.214608098422191
179,human_full25k,S0,cost,1,0,1.3952306627636233,6.0021671048573895,-2466.461440755353,-6.907755278982137
180,human_full25k,S0,cost,1,0,1.4868891687895822,6.0021671048573895,-2466.354156597657,-6.907755278982137
181,human_full25k,S0,cost,1,0,1.4868891687895822,5.9549650832545025,-2466.298007876252,-6.907755278982137
182,human_full25k,S0,cost,1,0,1.4868891687895822,5.9118112991187255,-2466.3581855336856,-6.907755278982137
183,human_full25k,S0,cost,1,0,1.4868891687895822,5.835018439187765,-2466.7313883638208,-6.907755278982137
184,human_full25k,S0,cost,1,0,1.3989104728074786,5.835018439187765,-2466.751049758361,-6.907755278982137
185,human_full25k,S0,cost,1,0,1.344562819007892,5.835018439187765,-2466.8003101739955,-6.907755278982137
186,human_full25k,S0,cost,1,0,1.344562819007892,5.79172634833134,-2467.1280753494448,-6.907755278982137
187,human_full25k,S0,cost,1,0,1.344562819007892,5.696945577121956,-2468.232206344523,-6.907755278982137
188,human_full25k,S0,cost,1,0,1.2746072530270673,5.696945577121956,-2468.283806589826,-6.214608098422191
189,human_full25k,S0,cost,1,0,1.2746072530270673,5.712698657437914,-2468.069433086151,-6.907755278982137
190,human_full25k,S0,cost,1,0,1.178382209249165,5.712698657437914,-2468.2273074910922,-6.907755278982137
191,human_full25k,S0,cost,1,0,1.1803661760584907,5.712698657437914,-2468.2231260431613,-6.907755278982137
192,human_full25k,S0,cost,1,0,1.0947831834133268,5.712698657437914,-2468.4393515432253,-5.809142990314028
193,human_full25k,S0,cost,1,0,1.0947831834133268,5.631348686154194,-2469.624090440259,-6.907755278982137
194,human_full25k,S0,cost,1,0,1.0947831834133268,5.717927647905261,-2468.3767737423736,-6.907755278982137
195,human_full25k,S0,cost,1,0,1.182423164771765,5.717927647905261,-2468.153661206787,-6.907755278982137
196,human_full25k,S0,cost,1,0,1.182423164771765,5.657146917068474,-2469.0122679555993,-6.907755278982137
197,human_full25k,S0,cost,1,0,1.182423164771765,5.606328570758189,-2469.9008598578384,-6.907755278982137
198,human_full25k,S0,cost,1,0,1.1483636227322864,5.606328570758189,-2469.9569802134592,-6.907755278982137
199,human_full25k,S0,cost,1,0,1.2294004342740172,5.606328570758189,-2469.842324920884,-6.214608098422191
200,human_full25k,S0,cost,1,0,1.2294004342740172,5.545892755450292,-2471.1191524142273,-6.907755278982137
201,human_full25k,S0,cost,1,0,1.2370814539602404,5.545892755450292,-2471.1142459058033,-6.907755278982137
202,human_full25k,S0,cost,1,0,1.2370814539602404,5.614652366856484,-2469.676021089215,-6.907755278982137
203,human_full25k,S0,cost,1,0,1.287481763785209,5.614652366856484,-2469.6387909597233,-6.907755278982137
204,human_full25k,S0,cost,1,0,1.2731846040617545,5.614652366856484,-2469.646830540545,-6.907755278982137
205,human_full25k,S0,cost,1,0,1.2824858953762752,5.614652366856484,-2469.6413738804654,-6.907755278982137
206,human_full25k,S0,cost,1,0,1.2824858953762752,5.7126033970449255,-2468.0618008314395,-6.907755278982137
207,human_full25k,S0,cost,1,0,1.359112885326739,5.7126033970449255,-2468.006918586966,-6.907755278982137
208,human_full25k,S0,cost,1,0,1.3928764763497485,5.7126033970449255,-2468.000747443988,-6.907755278982137
209,human_full25k,S0,cost,1,0,1.4692432507380488,5.7126033970449255,-2468.0269613363366,-6.907755278982137
210,human_full25k,S0,cost,1,0,1.4692432507380488,5.79343875615479,-2467.0709911436743,-6.214608098422191
211,human_full25k,S0,cost,1,0,1.4692432507380488,5.745475510488337,-2467.5914679034454,-6.907755278982137
