id,perception,pragmatics,production,simScaling,pragWeight,costWeight,infWeight,logLikelihood,posteriorProb
0,human_full25k,S1,cost,6.941654558864384,1,3.583141741257063,2.9420279154246813,-2421.9473818728816,-6.907755278982137
1,human_full25k,S1,cost,6.941654558864384,1,3.583141741257063,2.9954310013119168,-2417.457662079437,-6.214608098422191
2,human_full25k,S1,cost,6.941654558864384,1,3.583141741257063,3.021439546269316,-2415.446467712227,-6.907755278982137
3,human_full25k,S1,cost,6.941654558864384,1,3.583141741257063,3.078820907375917,-2411.409640376462,-6.907755278982137
4,human_full25k,S1,cost,6.941654558864384,1,3.5106118354372056,3.078820907375917,-2409.538508756596,-6.907755278982137
5,human_full25k,S1,cost,6.941654558864384,1,3.4827703482286987,3.078820907375917,-2408.8285747414257,-6.214608098422191
6,human_full25k,S1,cost,6.939843046775824,1,3.4827703482286987,3.078820907375917,-2408.81857302944,-6.214608098422191
7,human_full25k,S1,cost,6.023364339196486,1,3.4827703482286987,3.078820907375917,-2407.168569549192,-6.214608098422191
8,human_full25k,S1,cost,6.6640263020095665,1,3.4827703482286987,3.078820907375917,-2407.5734308332617,-6.214608098422191
9,human_full25k,S1,cost,6.6640263020095665,1,3.4230123825109966,3.078820907375917,-2406.0763924123003,-6.907755278982137
10,human_full25k,S1,cost,6.6640263020095665,1,3.4230123825109966,3.150819964022807,-2401.4855708070686,-6.907755278982137
11,human_full25k,S1,cost,6.214459217022262,1,3.4230123825109966,3.150819964022807,-2400.2428725748496,-6.907755278982137
12,human_full25k,S1,cost,6.214459217022262,1,3.4230123825109966,3.221125997092432,-2396.018627632576,-6.907755278982137
13,human_full25k,S1,cost,6.214459217022262,1,3.4230123825109966,3.3048847688695235,-2392.00580735845,-6.214608098422191
14,human_full25k,S1,cost,6.214459217022262,1,3.4230123825109966,3.3101874331664805,-2391.7883349776384,-6.907755278982137
15,human_full25k,S1,cost,6.214459217022262,1,3.4230123825109966,3.251338270573008,-2394.444932592389,-6.214608098422191
