,Unnamed: 0,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
1414,1414,closer,d188a9a7c4b5_19,trial_29_sparrow,trial_14_robin,trial_15_nightingale,trial_20_cuckoo,closer_sparrow
1415,1415,closer,d188a9a7c4b5_20,trial_32_squat,trial_21_woven,trial_22_leather,trial_27_sling,closer_squat
1416,1416,further,d188a9a7c4b5_21,trial_8_knob,trial_12_bluejay,trial_30_doberman,trial_9_brown,further_knob
1417,1417,further,d188a9a7c4b5_22,trial_3_redantique,trial_11_waiting,trial_26_crow,trial_7_basset,further_redantique
1418,1418,further,d188a9a7c4b5_23,trial_5_inlay,trial_17_redsport,trial_18_pug,trial_19_pigeon,further_inlay
1419,1419,closer,d188a9a7c4b5_24,trial_25_goldenretriever,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff,closer_goldenretriever
1420,1420,further,d188a9a7c4b5_25,trial_1_bluesport,trial_13_tomtit,trial_23_weimaraner,trial_4_straight,further_bluesport
1421,1421,closer,d188a9a7c4b5_26,trial_20_cuckoo,trial_14_robin,trial_15_nightingale,trial_29_sparrow,closer_cuckoo
1422,1422,closer,d188a9a7c4b5_27,trial_16_bloodhound,trial_25_goldenretriever,trial_28_chihuahua,trial_2_bullmastiff,closer_bloodhound
1423,1423,further,d188a9a7c4b5_28,trial_23_weimaraner,trial_13_tomtit,trial_1_bluesport,trial_4_straight,further_weimaraner
1424,1424,further,d188a9a7c4b5_29,trial_7_basset,trial_11_waiting,trial_26_crow,trial_3_redantique,further_basset
1425,1425,closer,d188a9a7c4b5_30,trial_6_hatchback,trial_10_beetle,trial_24_white,trial_31_bluesedan,closer_hatchback
1426,1426,closer,d188a9a7c4b5_31,trial_15_nightingale,trial_14_robin,trial_20_cuckoo,trial_29_sparrow,closer_nightingale
1427,1427,further,d188a9a7c4b5_32,trial_17_redsport,trial_18_pug,trial_19_pigeon,trial_5_inlay,further_redsport
1428,1428,closer,247478e1ce8d_1,trial_22_leather,trial_32_squat,trial_5_inlay,trial_8_knob,closer_leather
1429,1429,further,247478e1ce8d_2,trial_21_woven,trial_15_nightingale,trial_18_pug,trial_3_redantique,further_woven
1430,1430,further,247478e1ce8d_3,trial_18_pug,trial_15_nightingale,trial_21_woven,trial_3_redantique,further_pug
1431,1431,further,247478e1ce8d_4,trial_6_hatchback,trial_13_tomtit,trial_16_bloodhound,trial_4_straight,further_hatchback
1432,1432,closer,247478e1ce8d_5,trial_8_knob,trial_22_leather,trial_32_squat,trial_5_inlay,closer_knob
1433,1433,further,247478e1ce8d_6,trial_4_straight,trial_13_tomtit,trial_16_bloodhound,trial_6_hatchback,further_straight
1434,1434,closer,247478e1ce8d_7,trial_2_bullmastiff,trial_23_weimaraner,trial_25_goldenretriever,trial_7_basset,closer_bullmastiff
1435,1435,closer,247478e1ce8d_8,trial_25_goldenretriever,trial_23_weimaraner,trial_2_bullmastiff,trial_7_basset,closer_goldenretriever
1436,1436,closer,247478e1ce8d_9,trial_24_white,trial_17_redsport,trial_31_bluesedan,trial_9_brown,closer_white
1437,1437,further,247478e1ce8d_10,trial_16_bloodhound,trial_13_tomtit,trial_4_straight,trial_6_hatchback,further_bloodhound
1438,1438,further,247478e1ce8d_11,trial_3_redantique,trial_15_nightingale,trial_18_pug,trial_21_woven,further_redantique
1439,1439,closer,247478e1ce8d_12,trial_31_bluesedan,trial_17_redsport,trial_24_white,trial_9_brown,closer_bluesedan
1441,1441,further,247478e1ce8d_14,trial_29_sparrow,trial_10_beetle,trial_27_sling,trial_28_chihuahua,further_sparrow
1442,1442,closer,247478e1ce8d_15,trial_32_squat,trial_22_leather,trial_5_inlay,trial_8_knob,closer_squat
1443,1443,further,247478e1ce8d_16,trial_28_chihuahua,trial_10_beetle,trial_27_sling,trial_29_sparrow,further_chihuahua
1444,1444,closer,247478e1ce8d_17,trial_7_basset,trial_23_weimaraner,trial_25_goldenretriever,trial_2_bullmastiff,closer_basset
1445,1445,further,247478e1ce8d_18,trial_10_beetle,trial_27_sling,trial_28_chihuahua,trial_29_sparrow,further_beetle
1446,1446,closer,247478e1ce8d_19,trial_5_inlay,trial_22_leather,trial_32_squat,trial_8_knob,closer_inlay
