,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
621,further,36a20f2951c5_16,trial_30_doberman,trial_10_beetle,trial_29_sparrow,trial_8_knob,further_doberman
622,closer,36a20f2951c5_17,trial_20_cuckoo,trial_15_nightingale,trial_19_pigeon,trial_26_crow,closer_cuckoo
623,further,36a20f2951c5_18,trial_10_beetle,trial_29_sparrow,trial_30_doberman,trial_8_knob,further_beetle
624,closer,36a20f2951c5_19,trial_18_pug,trial_23_weimaraner,trial_25_goldenretriever,trial_7_basset,closer_pug
625,further,36a20f2951c5_20,trial_32_squat,trial_14_robin,trial_16_bloodhound,trial_17_redsport,further_squat
626,further,36a20f2951c5_21,trial_13_tomtit,trial_27_sling,trial_28_chihuahua,trial_3_redantique,further_tomtit
627,closer,36a20f2951c5_22,trial_6_hatchback,trial_1_bluesport,trial_24_white,trial_9_brown,closer_hatchback
628,further,36a20f2951c5_23,trial_3_redantique,trial_13_tomtit,trial_27_sling,trial_28_chihuahua,further_redantique
629,further,36a20f2951c5_24,trial_27_sling,trial_13_tomtit,trial_28_chihuahua,trial_3_redantique,further_sling
630,further,36a20f2951c5_25,trial_28_chihuahua,trial_13_tomtit,trial_27_sling,trial_3_redantique,further_chihuahua
631,further,36a20f2951c5_26,trial_12_bluejay,trial_2_bullmastiff,trial_31_bluesedan,trial_4_straight,further_bluejay
632,closer,36a20f2951c5_27,trial_21_woven,trial_11_waiting,trial_22_leather,trial_5_inlay,closer_woven
633,closer,36a20f2951c5_28,trial_26_crow,trial_15_nightingale,trial_19_pigeon,trial_20_cuckoo,closer_crow
634,closer,36a20f2951c5_29,trial_25_goldenretriever,trial_18_pug,trial_23_weimaraner,trial_7_basset,closer_goldenretriever
635,closer,36a20f2951c5_30,trial_7_basset,trial_18_pug,trial_23_weimaraner,trial_25_goldenretriever,closer_basset
636,further,36a20f2951c5_31,trial_8_knob,trial_10_beetle,trial_29_sparrow,trial_30_doberman,further_knob
637,further,36a20f2951c5_32,trial_31_bluesedan,trial_12_bluejay,trial_2_bullmastiff,trial_4_straight,further_bluesedan
638,further,737a5b0fbd1f_1,trial_24_white,trial_26_crow,trial_30_doberman,trial_4_straight,further_white
639,further,737a5b0fbd1f_2,trial_29_sparrow,trial_18_pug,trial_31_bluesedan,trial_5_inlay,further_sparrow
640,closer,737a5b0fbd1f_3,trial_14_robin,trial_15_nightingale,trial_19_pigeon,trial_20_cuckoo,closer_robin
641,further,737a5b0fbd1f_4,trial_22_leather,trial_12_bluejay,trial_1_bluesport,trial_7_basset,further_leather
642,closer,737a5b0fbd1f_5,trial_25_goldenretriever,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff,closer_goldenretriever
643,closer,737a5b0fbd1f_6,trial_15_nightingale,trial_14_robin,trial_19_pigeon,trial_20_cuckoo,closer_nightingale
644,further,737a5b0fbd1f_7,trial_23_weimaraner,trial_11_waiting,trial_13_tomtit,trial_9_brown,further_weimaraner
645,closer,737a5b0fbd1f_8,trial_32_squat,trial_21_woven,trial_27_sling,trial_8_knob,closer_squat
646,further,737a5b0fbd1f_9,trial_12_bluejay,trial_1_bluesport,trial_22_leather,trial_7_basset,further_bluejay
647,further,737a5b0fbd1f_10,trial_30_doberman,trial_24_white,trial_26_crow,trial_4_straight,further_doberman
648,closer,737a5b0fbd1f_11,trial_2_bullmastiff,trial_16_bloodhound,trial_25_goldenretriever,trial_28_chihuahua,closer_bullmastiff
649,closer,737a5b0fbd1f_12,trial_6_hatchback,trial_10_beetle,trial_17_redsport,trial_3_redantique,closer_hatchback
650,closer,737a5b0fbd1f_13,trial_10_beetle,trial_17_redsport,trial_3_redantique,trial_6_hatchback,closer_beetle
651,further,737a5b0fbd1f_14,trial_9_brown,trial_11_waiting,trial_13_tomtit,trial_23_weimaraner,further_brown
652,further,737a5b0fbd1f_16,trial_13_tomtit,trial_11_waiting,trial_23_weimaraner,trial_9_brown,further_tomtit
653,closer,737a5b0fbd1f_17,trial_8_knob,trial_21_woven,trial_27_sling,trial_32_squat,closer_knob
654,closer,737a5b0fbd1f_18,trial_17_redsport,trial_10_beetle,trial_3_redantique,trial_6_hatchback,closer_redsport
655,further,737a5b0fbd1f_19,trial_11_waiting,trial_13_tomtit,trial_23_weimaraner,trial_9_brown,further_waiting
656,closer,737a5b0fbd1f_20,trial_21_woven,trial_27_sling,trial_32_squat,trial_8_knob,closer_woven
657,further,737a5b0fbd1f_21,trial_7_basset,trial_12_bluejay,trial_1_bluesport,trial_22_leather,further_basset
658,closer,737a5b0fbd1f_22,trial_20_cuckoo,trial_14_robin,trial_15_nightingale,trial_19_pigeon,closer_cuckoo
659,further,737a5b0fbd1f_23,trial_5_inlay,trial_18_pug,trial_29_sparrow,trial_31_bluesedan,further_inlay
660,closer,737a5b0fbd1f_24,trial_3_redantique,trial_10_beetle,trial_17_redsport,trial_6_hatchback,closer_redantique
661,further,737a5b0fbd1f_25,trial_18_pug,trial_29_sparrow,trial_31_bluesedan,trial_5_inlay,further_pug
662,further,737a5b0fbd1f_26,trial_4_straight,trial_24_white,trial_26_crow,trial_30_doberman,further_straight
663,closer,737a5b0fbd1f_27,trial_27_sling,trial_21_woven,trial_32_squat,trial_8_knob,closer_sling
664,further,737a5b0fbd1f_28,trial_1_bluesport,trial_12_bluejay,trial_22_leather,trial_7_basset,further_bluesport
665,further,737a5b0fbd1f_29,trial_26_crow,trial_24_white,trial_30_doberman,trial_4_straight,further_crow
666,closer,737a5b0fbd1f_30,trial_16_bloodhound,trial_25_goldenretriever,trial_28_chihuahua,trial_2_bullmastiff,closer_bloodhound
667,further,737a5b0fbd1f_31,trial_31_bluesedan,trial_18_pug,trial_29_sparrow,trial_5_inlay,further_bluesedan
668,closer,737a5b0fbd1f_32,trial_19_pigeon,trial_14_robin,trial_15_nightingale,trial_20_cuckoo,closer_pigeon
669,closer,b5377cf24d71_1,trial_25_goldenretriever,trial_18_pug,trial_23_weimaraner,trial_30_doberman,closer_goldenretriever
670,closer,b5377cf24d71_2,trial_21_woven,trial_22_leather,trial_27_sling,trial_8_knob,closer_woven
671,further,b5377cf24d71_3,trial_28_chihuahua,trial_12_bluejay,trial_32_squat,trial_9_brown,further_chihuahua
