,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
397,further,ada7595a25c5_4,trial_26_crow,trial_5_inlay,trial_6_hatchback,trial_7_basset,further_crow
398,further,ada7595a25c5_6,trial_30_doberman,trial_15_nightingale,trial_3_redantique,trial_8_knob,further_doberman
399,further,ada7595a25c5_11,trial_15_nightingale,trial_30_doberman,trial_3_redantique,trial_8_knob,further_nightingale
400,further,ada7595a25c5_15,trial_8_knob,trial_15_nightingale,trial_30_doberman,trial_3_redantique,further_knob
401,further,ada7595a25c5_16,trial_5_inlay,trial_26_crow,trial_6_hatchback,trial_7_basset,further_inlay
402,further,ada7595a25c5_28,trial_7_basset,trial_26_crow,trial_5_inlay,trial_6_hatchback,further_basset
403,further,ada7595a25c5_32,trial_3_redantique,trial_15_nightingale,trial_30_doberman,trial_8_knob,further_redantique
404,closer,948482e4d94c_5,trial_7_basset,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner,closer_basset
405,closer,948482e4d94c_6,trial_21_woven,trial_22_leather,trial_27_sling,trial_5_inlay,closer_woven
406,closer,948482e4d94c_7,trial_18_pug,trial_16_bloodhound,trial_23_weimaraner,trial_7_basset,closer_pug
407,further,948482e4d94c_9,trial_12_bluejay,trial_11_waiting,trial_17_redsport,trial_25_goldenretriever,further_bluejay
408,further,948482e4d94c_14,trial_11_waiting,trial_12_bluejay,trial_17_redsport,trial_25_goldenretriever,further_waiting
409,closer,948482e4d94c_15,trial_5_inlay,trial_21_woven,trial_22_leather,trial_27_sling,closer_inlay
410,further,948482e4d94c_17,trial_17_redsport,trial_11_waiting,trial_12_bluejay,trial_25_goldenretriever,further_redsport
411,closer,948482e4d94c_21,trial_22_leather,trial_21_woven,trial_27_sling,trial_5_inlay,closer_leather
412,closer,948482e4d94c_23,trial_23_weimaraner,trial_16_bloodhound,trial_18_pug,trial_7_basset,closer_weimaraner
413,closer,948482e4d94c_25,trial_27_sling,trial_21_woven,trial_22_leather,trial_5_inlay,closer_sling
414,closer,948482e4d94c_29,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner,trial_7_basset,closer_bloodhound
415,further,948482e4d94c_31,trial_25_goldenretriever,trial_11_waiting,trial_12_bluejay,trial_17_redsport,further_goldenretriever
416,further,1d372f6923f0_1,trial_24_white,trial_11_waiting,trial_14_robin,trial_30_doberman,further_white
417,further,1d372f6923f0_2,trial_14_robin,trial_11_waiting,trial_24_white,trial_30_doberman,further_robin
418,further,1d372f6923f0_6,trial_31_bluesedan,trial_13_tomtit,trial_23_weimaraner,trial_32_squat,further_bluesedan
419,further,1d372f6923f0_9,trial_23_weimaraner,trial_13_tomtit,trial_31_bluesedan,trial_32_squat,further_weimaraner
420,further,1d372f6923f0_13,trial_13_tomtit,trial_23_weimaraner,trial_31_bluesedan,trial_32_squat,further_tomtit
421,further,1d372f6923f0_22,trial_30_doberman,trial_11_waiting,trial_14_robin,trial_24_white,further_doberman
422,further,1d372f6923f0_23,trial_11_waiting,trial_14_robin,trial_24_white,trial_30_doberman,further_waiting
423,further,1d372f6923f0_32,trial_32_squat,trial_13_tomtit,trial_23_weimaraner,trial_31_bluesedan,further_squat
424,further,67e8a3f5539d_2,trial_31_bluesedan,trial_11_waiting,trial_15_nightingale,trial_23_weimaraner,further_bluesedan
425,further,67e8a3f5539d_4,trial_15_nightingale,trial_11_waiting,trial_23_weimaraner,trial_31_bluesedan,further_nightingale
426,closer,67e8a3f5539d_8,trial_14_robin,trial_12_bluejay,trial_20_cuckoo,trial_29_sparrow,closer_robin
427,closer,67e8a3f5539d_10,trial_12_bluejay,trial_14_robin,trial_20_cuckoo,trial_29_sparrow,closer_bluejay
428,closer,67e8a3f5539d_12,trial_29_sparrow,trial_12_bluejay,trial_14_robin,trial_20_cuckoo,closer_sparrow
429,further,67e8a3f5539d_14,trial_3_redantique,trial_19_pigeon,trial_30_doberman,trial_32_squat,further_redantique
430,closer,67e8a3f5539d_18,trial_20_cuckoo,trial_12_bluejay,trial_14_robin,trial_29_sparrow,closer_cuckoo
431,further,67e8a3f5539d_19,trial_11_waiting,trial_15_nightingale,trial_23_weimaraner,trial_31_bluesedan,further_waiting
432,further,67e8a3f5539d_22,trial_19_pigeon,trial_30_doberman,trial_32_squat,trial_3_redantique,further_pigeon
433,further,67e8a3f5539d_23,trial_32_squat,trial_19_pigeon,trial_30_doberman,trial_3_redantique,further_squat
434,further,67e8a3f5539d_30,trial_30_doberman,trial_19_pigeon,trial_32_squat,trial_3_redantique,further_doberman
435,further,67e8a3f5539d_31,trial_23_weimaraner,trial_11_waiting,trial_15_nightingale,trial_31_bluesedan,further_weimaraner
436,closer,e9de387ab0b5_6,trial_10_beetle,trial_17_redsport,trial_1_bluesport,trial_6_hatchback,closer_beetle
437,further,e9de387ab0b5_7,trial_23_weimaraner,trial_14_robin,trial_32_squat,trial_3_redantique,further_weimaraner
438,further,e9de387ab0b5_8,trial_32_squat,trial_14_robin,trial_23_weimaraner,trial_3_redantique,further_squat
439,closer,e9de387ab0b5_15,trial_6_hatchback,trial_10_beetle,trial_17_redsport,trial_1_bluesport,closer_hatchback
440,further,e9de387ab0b5_16,trial_25_goldenretriever,trial_12_bluejay,trial_31_bluesedan,trial_4_straight,further_goldenretriever
