,gameID,target,choice,correct,rt,fname,d1,d2,d3,target_category,chosen_category,condition,drawDuration,original_gameID,viewer_correct,viewer_choice,viewer_RT,mean_intensity,num_strokes,correct_class
0,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,hatchback,hatchback,1,13199,gameID_1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba_trial_7.png,redantique,brown,brown,car,car,closer,3.325,1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba,True,hatchback,6.032,0.0468,3,True
12,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,robin,nightingale,0,13463,gameID_1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba_trial_10.png,tomtit,cuckoo,cuckoo,bird,bird,closer,23.158,1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba,False,cuckoo,4.404,0.1144,7,True
16,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,nightingale,crow,0,13154,gameID_7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5_trial_11.png,redantique,knob,knob,bird,bird,further,5.206,7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5,True,nightingale,3.176,0.0302,4,True
18,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,leather,leather,1,11833,gameID_9229-923201c3-dd68-4362-8eec-77cb88a647c4_trial_12.png,straight,woven,woven,chair,chair,closer,26.862,9229-923201c3-dd68-4362-8eec-77cb88a647c4,True,leather,2.9189999999999996,0.0666,13,True
22,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,redantique,redantique,1,7519,gameID_5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687_trial_14.png,bluesedan,redsport,redsport,car,car,closer,29.7,5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687,True,redantique,5.879,0.0347,10,True
23,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,cuckoo,cuckoo,1,7850,gameID_7567-ce474df0-a84b-46aa-b23d-c238f8234641_trial_14.png,beetle,sling,sling,bird,bird,further,4.448,7567-ce474df0-a84b-46aa-b23d-c238f8234641,True,cuckoo,1.665,0.0295,4,True
25,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,hatchback,hatchback,1,2530,gameID_3257-2f4b83dc-a618-4194-a666-67e8a3f5539d_trial_15.png,brown,white,white,car,car,closer,4.808,3257-2f4b83dc-a618-4194-a666-67e8a3f5539d,True,hatchback,4.22,0.0387,3,True
26,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,hatchback,hatchback,1,8556,gameID_3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0_trial_15.png,sparrow,squat,squat,car,car,further,15.792,3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0,True,hatchback,4.5360000000000005,0.0672,12,True
27,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,bluejay,bluejay,1,5362,gameID_7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_trial_15.png,robin,tomtit,tomtit,bird,bird,closer,25.971,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb,True,bluejay,3.173,0.0292,11,True
28,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,crow,robin,0,8498,gameID_2769-b075d070-88e5-47fe-b275-c49134b19ceb_trial_15.png,nightingale,pigeon,pigeon,bird,bird,closer,12.824000000000002,2769-b075d070-88e5-47fe-b275-c49134b19ceb,True,crow,20.9,0.0557,6,True
29,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,woven,woven,1,5547,gameID_7106-d5bbcf75-2894-4656-b1bd-19e73abf8a17_trial_15.png,pigeon,white,white,chair,chair,further,17.807000000000002,7106-d5bbcf75-2894-4656-b1bd-19e73abf8a17,True,woven,4.294,0.0645,7,True
32,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,doberman,doberman,1,6640,gameID_5148-2dd2d418-6ff6-40f1-ac59-e201d15bc528_trial_16.png,bluejay,bluesedan,bluesedan,dog,dog,further,20.546,5148-2dd2d418-6ff6-40f1-ac59-e201d15bc528,True,doberman,8.907,0.0701,11,True
34,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,redantique,redantique,1,2869,gameID_3897-71f63429-f74c-42ea-a48e-f21b736affde_trial_17.png,nightingale,leather,leather,car,car,further,7.297000000000001,3897-71f63429-f74c-42ea-a48e-f21b736affde,True,redantique,68.658,0.0358,6,True
36,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,cuckoo,cuckoo,1,11176,gameID_0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_trial_17.png,hatchback,squat,squat,bird,bird,further,5.457000000000001,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1,True,cuckoo,5.655,0.0407,8,True
37,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,beetle,beetle,1,4737,gameID_4099-cfa19d59-4f8b-4d34-bd3f-23a1e8c79e67_trial_18.png,brown,redantique,redantique,car,car,closer,8.564,4099-cfa19d59-4f8b-4d34-bd3f-23a1e8c79e67,True,beetle,4.921,0.0291,4,True
38,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,cuckoo,pigeon,0,13801,gameID_2323-a9c585ff-0096-4f9c-8be4-e202993c654f_trial_18.png,white,straight,straight,bird,bird,further,23.49,2323-a9c585ff-0096-4f9c-8be4-e202993c654f,True,cuckoo,4.494,0.0322,10,True
40,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,doberman,weimaraner,0,6253,gameID_6698-4fc0cc09-7c7a-4adf-95d7-af88c375d43a_trial_18.png,bluejay,hatchback,hatchback,dog,dog,further,24.326999999999998,6698-4fc0cc09-7c7a-4adf-95d7-af88c375d43a,True,doberman,4.051,0.0568,13,True
41,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,inlay,inlay,1,5434,gameID_4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1_trial_18.png,tomtit,bluesport,bluesport,chair,chair,further,19.05,4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1,True,inlay,5.551,0.0571,10,True
42,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,cuckoo,cuckoo,1,4380,gameID_8265-92081336-152b-4a90-bdb4-fea038f4c9b8_trial_18.png,bluesedan,inlay,inlay,bird,bird,further,16.61,8265-92081336-152b-4a90-bdb4-fea038f4c9b8,True,cuckoo,8.321,0.0433,9,True
43,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,tomtit,sparrow,0,13137,gameID_6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_trial_18.png,bluejay,crow,crow,bird,bird,closer,30.699,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8,True,tomtit,77.055,0.0325,10,True
44,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,cuckoo,cuckoo,1,8021,gameID_8154-5d8b5091-2c29-4502-9719-1b295ff55c49_trial_19.png,tomtit,nightingale,nightingale,bird,bird,closer,3.795,8154-5d8b5091-2c29-4502-9719-1b295ff55c49,True,cuckoo,8.044,0.047,4,True
46,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,brown,redsport,0,13922,gameID_5707-49e9e7c8-5fe1-4469-9905-4ba89ccde7dd_trial_19.png,cuckoo,straight,straight,car,car,further,9.981,5707-49e9e7c8-5fe1-4469-9905-4ba89ccde7dd,True,brown,6.341,0.0313,4,True
47,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,crow,pigeon,0,5098,gameID_0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_trial_19.png,bluesedan,knob,knob,bird,bird,further,5.19,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1,True,crow,3.859,0.0378,10,True
48,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,nightingale,bluejay,0,14657,gameID_8690-8b4e0b59-f3f2-4e43-b4a0-66caff2a72e4_trial_20.png,bluesedan,waiting,waiting,bird,bird,further,16.997,8690-8b4e0b59-f3f2-4e43-b4a0-66caff2a72e4,True,nightingale,20.838,0.0348,8,True
50,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,doberman,doberman,1,11830,gameID_1695-dcc9fa2e-386a-42cc-a4cb-fbb1a309c5d9_trial_20.png,chihuahua,pug,pug,dog,dog,closer,92.241,1695-dcc9fa2e-386a-42cc-a4cb-fbb1a309c5d9,True,doberman,3.7510000000000003,0.1105,23,True
51,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,knob,inlay,0,9218,gameID_2769-b075d070-88e5-47fe-b275-c49134b19ceb_trial_20.png,squat,woven,woven,chair,chair,closer,23.916,2769-b075d070-88e5-47fe-b275-c49134b19ceb,True,knob,2.645,0.0392,7,True
53,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,bullmastiff,weimaraner,0,9577,gameID_7285-f99d9991-de84-43cc-b359-e9de387ab0b5_trial_21.png,basset,doberman,doberman,dog,dog,closer,53.58,7285-f99d9991-de84-43cc-b359-e9de387ab0b5,False,chihuahua,9.502,0.052000000000000005,7,True
56,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,sling,straight,0,14669,gameID_8154-5d8b5091-2c29-4502-9719-1b295ff55c49_trial_22.png,pigeon,bluesport,bluesport,chair,chair,further,1.7690000000000001,8154-5d8b5091-2c29-4502-9719-1b295ff55c49,True,sling,3.793,0.017,3,True
58,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,brown,redantique,0,3017,gameID_8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_trial_22.png,redsport,white,white,car,car,closer,38.843,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d,True,brown,6.706,0.0516,14,True
59,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,brown,brown,1,8014,gameID_6500-391008be-12c2-4a97-a943-7bf13a56bbb7_trial_22.png,robin,squat,squat,car,car,further,5.0,6500-391008be-12c2-4a97-a943-7bf13a56bbb7,True,brown,10.895,0.0342,2,True
60,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,chihuahua,pug,0,11247,gameID_4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1_trial_22.png,crow,redantique,redantique,dog,dog,further,0.0,4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1,True,chihuahua,2.841,0.0519,1,True
61,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,robin,robin,1,12257,gameID_1649-32db6539-aa0f-4f13-85ad-e1082911fc9f_trial_22.png,crow,bluejay,bluejay,bird,bird,closer,37.991,1649-32db6539-aa0f-4f13-85ad-e1082911fc9f,True,robin,5.5889999999999995,0.0625,15,True
62,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,beetle,beetle,1,5688,gameID_0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_trial_22.png,bluejay,straight,straight,car,car,further,12.052999999999999,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1,True,beetle,6.473,0.0512,9,True
63,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,basset,basset,1,6789,gameID_4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_trial_22.png,sparrow,beetle,beetle,dog,dog,further,15.134,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16,True,basset,6.077000000000001,0.0506,11,True
64,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bluesport,bluesport,1,4277,gameID_8901-cec404f6-c1b9-458f-8ab5-3fac34c1563f_trial_8.png,robin,straight,straight,car,car,further,14.825,8901-cec404f6-c1b9-458f-8ab5-3fac34c1563f,True,bluesport,16.147000000000002,0.0283,5,True
65,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,robin,nightingale,0,6495,gameID_0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_trial_8.png,white,sling,sling,bird,bird,further,9.336,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345,True,robin,2.605,0.0396,12,True
66,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bullmastiff,doberman,0,1572,gameID_6500-391008be-12c2-4a97-a943-7bf13a56bbb7_trial_8.png,robin,brown,brown,dog,dog,further,10.899000000000001,6500-391008be-12c2-4a97-a943-7bf13a56bbb7,True,bullmastiff,5.307,0.044000000000000004,3,True
67,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,chihuahua,knob,0,5793,gameID_2475-56c56a85-8926-4355-b02d-9fe236623033_trial_8.png,pigeon,white,white,dog,chair,further,19.373,2475-56c56a85-8926-4355-b02d-9fe236623033,True,chihuahua,6.044,0.04,14,False
68,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,goldenretriever,goldenretriever,1,11078,gameID_5707-49e9e7c8-5fe1-4469-9905-4ba89ccde7dd_trial_8.png,cuckoo,brown,brown,dog,dog,further,29.154,5707-49e9e7c8-5fe1-4469-9905-4ba89ccde7dd,True,goldenretriever,6.87,0.0474,5,True
69,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bluejay,bluejay,1,3390,gameID_2611-14794729-06be-4093-aac5-8a631b1fa894_trial_8.png,bluesedan,waiting,waiting,bird,bird,further,31.525,2611-14794729-06be-4093-aac5-8a631b1fa894,True,bluejay,2.438,0.0412,12,True
70,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,inlay,inlay,1,1564,gameID_2111-7c2c9b7b-6c0b-43e7-b3a9-c9edf26da2a1_trial_8.png,sparrow,redsport,redsport,chair,chair,further,14.821,2111-7c2c9b7b-6c0b-43e7-b3a9-c9edf26da2a1,True,inlay,4.145,0.0434,10,True
71,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,robin,robin,1,2238,gameID_4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1_trial_8.png,nightingale,bluejay,bluejay,bird,bird,closer,34.199,4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1,True,robin,5.827999999999999,0.1222,6,True
72,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,chihuahua,bullmastiff,0,4712,gameID_0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_trial_8.png,bloodhound,weimaraner,weimaraner,dog,dog,closer,49.159,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8,False,bloodhound,12.735,0.0382,13,True
73,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,redantique,redantique,1,2242,gameID_2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_trial_8.png,bluejay,sling,sling,car,car,further,2.483,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede,True,redantique,5.279,0.0263,3,True
74,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,inlay,inlay,1,1288,gameID_2107-760dc7ba-9d69-4d14-89ce-16d8e4ed049d_trial_8.png,crow,redantique,redantique,chair,chair,further,20.535,2107-760dc7ba-9d69-4d14-89ce-16d8e4ed049d,True,inlay,18.391,0.0444,12,True
75,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bullmastiff,doberman,0,4660,gameID_1649-32db6539-aa0f-4f13-85ad-e1082911fc9f_trial_8.png,tomtit,bluesport,bluesport,dog,dog,further,24.8,1649-32db6539-aa0f-4f13-85ad-e1082911fc9f,True,bullmastiff,4.8069999999999995,0.0474,10,True
76,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,tomtit,tomtit,1,4100,gameID_2769-b075d070-88e5-47fe-b275-c49134b19ceb_trial_8.png,bluesport,leather,leather,bird,bird,further,5.547999999999999,2769-b075d070-88e5-47fe-b275-c49134b19ceb,True,tomtit,3.6060000000000003,0.0263,4,True
77,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bloodhound,weimaraner,0,7159,gameID_6444-67a3b4d4-43a4-41bb-a9cf-e8739fbe8802_trial_8.png,nightingale,white,white,dog,dog,further,8.0,6444-67a3b4d4-43a4-41bb-a9cf-e8739fbe8802,True,bloodhound,8.286,0.02,6,True
78,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,cuckoo,cuckoo,1,2237,gameID_2216-946e1652-c7ea-4dc7-8829-129c7cc55176_trial_8.png,crow,bluejay,bluejay,bird,bird,closer,25.559,2216-946e1652-c7ea-4dc7-8829-129c7cc55176,True,cuckoo,32.008,0.0453,7,True
79,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,chihuahua,bloodhound,0,3967,gameID_7823-f830a2ad-96de-4d1f-a926-5b44d0a625aa_trial_8.png,bloodhound,weimaraner,weimaraner,dog,dog,closer,12.777000000000001,7823-f830a2ad-96de-4d1f-a926-5b44d0a625aa,True,chihuahua,26.840999999999998,0.0374,9,True
80,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,woven,woven,1,2305,gameID_0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_trial_8.png,robin,redantique,redantique,chair,chair,further,8.532,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc,True,woven,15.03,0.0424,4,True
81,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,white,white,1,2057,gameID_3956-be947e80-531d-42ce-b238-e0b3bd997edf_trial_8.png,redantique,beetle,beetle,car,car,closer,78.497,3956-be947e80-531d-42ce-b238-e0b3bd997edf,True,white,5.771,0.0294,9,True
82,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,redsport,white,0,2162,gameID_9877-e1c91119-da46-40fa-82fe-17405ca56a3b_trial_8.png,bluesedan,hatchback,hatchback,car,car,closer,32.871,9877-e1c91119-da46-40fa-82fe-17405ca56a3b,True,redsport,5.075,0.0463,15,True
83,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,waiting,waiting,1,3586,gameID_7004-6ff0964c-ff95-40f9-8696-d6a8931c94d5_trial_9.png,leather,inlay,inlay,chair,chair,closer,21.246,7004-6ff0964c-ff95-40f9-8696-d6a8931c94d5,True,waiting,1.7930000000000001,0.0722,11,True
84,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,straight,straight,1,1773,gameID_3230-d1aa5a54-b0ce-4d0d-be06-e49efb324a4b_trial_9.png,leather,knob,knob,chair,chair,closer,35.298,3230-d1aa5a54-b0ce-4d0d-be06-e49efb324a4b,True,straight,7.975,0.0437,15,True
85,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,brown,redsport,0,2815,gameID_4099-cfa19d59-4f8b-4d34-bd3f-23a1e8c79e67_trial_9.png,beetle,redantique,redantique,car,car,closer,26.214000000000002,4099-cfa19d59-4f8b-4d34-bd3f-23a1e8c79e67,True,brown,11.550999999999998,0.0263,13,True
86,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,inlay,inlay,1,6188,gameID_8154-5d8b5091-2c29-4502-9719-1b295ff55c49_trial_9.png,robin,brown,brown,chair,chair,further,3.597,8154-5d8b5091-2c29-4502-9719-1b295ff55c49,True,inlay,1.902,0.028999999999999998,3,True
87,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bluejay,crow,0,2688,gameID_5650-cb4a9e85-a383-43f6-83e6-331e286811d1_trial_9.png,crow,robin,robin,bird,bird,closer,41.577,5650-cb4a9e85-a383-43f6-83e6-331e286811d1,True,bluejay,4.556,0.0343,13,True
88,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bluesport,brown,0,2186,gameID_4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_trial_9.png,pigeon,knob,knob,car,car,further,9.826,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2,True,bluesport,13.635,0.0288,6,True
89,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,nightingale,nightingale,1,10296,gameID_4409-c993cc06-d675-4acb-881f-b5377cf24d71_trial_9.png,sparrow,robin,robin,bird,bird,closer,42.006,4409-c993cc06-d675-4acb-881f-b5377cf24d71,True,nightingale,6.122000000000001,0.0646,13,True
90,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,woven,knob,0,9299,gameID_4471-2bd3bf63-be9f-4c2b-8cf2-a27d10269baa_trial_9.png,waiting,straight,straight,chair,chair,closer,20.47,4471-2bd3bf63-be9f-4c2b-8cf2-a27d10269baa,True,woven,8.363999999999999,0.0332,5,True
91,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,white,white,1,1753,gameID_8033-46b51efe-5b34-4a26-a7f0-a5d08708618a_trial_9.png,cuckoo,woven,woven,car,car,further,21.438000000000002,8033-46b51efe-5b34-4a26-a7f0-a5d08708618a,True,white,7.638,0.0409,7,True
92,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,pug,pug,1,3715,gameID_7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5_trial_9.png,pigeon,bluesport,bluesport,dog,dog,further,22.296999999999997,7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5,True,pug,5.675,0.0507,6,True
93,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,doberman,doberman,1,1768,gameID_1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_trial_9.png,weimaraner,goldenretriever,goldenretriever,dog,dog,closer,27.622,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d,True,doberman,4.79,0.0424,9,True
94,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,weimaraner,bloodhound,0,8647,gameID_3572-0843efc9-9dec-40f1-879f-2a61d8a3622d_trial_9.png,tomtit,beetle,beetle,dog,dog,further,12.022,3572-0843efc9-9dec-40f1-879f-2a61d8a3622d,True,weimaraner,9.385,0.0409,11,True
95,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,white,white,1,1723,gameID_8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_trial_9.png,redsport,brown,brown,car,car,closer,43.675,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d,True,white,14.360999999999999,0.0397,13,True
96,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,waiting,knob,0,7374,gameID_6698-4fc0cc09-7c7a-4adf-95d7-af88c375d43a_trial_9.png,woven,sling,sling,chair,chair,closer,95.745,6698-4fc0cc09-7c7a-4adf-95d7-af88c375d43a,True,waiting,4.234,0.0868,16,True
97,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,redsport,brown,0,4542,gameID_2721-f28245be-a3ac-425e-9538-5c0803980807_trial_9.png,brown,beetle,beetle,car,car,closer,52.604,2721-f28245be-a3ac-425e-9538-5c0803980807,True,redsport,5.535,0.054000000000000006,12,True
98,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,doberman,pug,0,2116,gameID_2111-7c2c9b7b-6c0b-43e7-b3a9-c9edf26da2a1_trial_9.png,crow,hatchback,hatchback,dog,dog,further,2.373,2111-7c2c9b7b-6c0b-43e7-b3a9-c9edf26da2a1,True,doberman,5.441,0.0595,2,True
99,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,redsport,redsport,1,3412,gameID_6486-e7055f99-5fec-4fb7-a7fd-7ebf49ba594f_trial_9.png,pigeon,leather,leather,car,car,further,21.128,6486-e7055f99-5fec-4fb7-a7fd-7ebf49ba594f,True,redsport,3.427,0.04,7,True
100,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,chihuahua,pug,0,4650,gameID_2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_trial_9.png,sparrow,bluesport,bluesport,dog,dog,further,12.01,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede,True,chihuahua,3.1060000000000003,0.0316,8,True
101,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,squat,squat,1,1120,gameID_2107-760dc7ba-9d69-4d14-89ce-16d8e4ed049d_trial_9.png,sparrow,white,white,chair,chair,further,34.150999999999996,2107-760dc7ba-9d69-4d14-89ce-16d8e4ed049d,True,squat,1.61,0.0721,20,True
102,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,woven,straight,0,1461,gameID_8844-b38e583e-3f9a-4f4e-baa2-1ad91742f7d4_trial_9.png,cuckoo,bluesedan,bluesedan,chair,chair,further,1.1079999999999999,8844-b38e583e-3f9a-4f4e-baa2-1ad91742f7d4,True,woven,2.77,0.015,2,True
103,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,waiting,waiting,1,3285,gameID_2769-b075d070-88e5-47fe-b275-c49134b19ceb_trial_9.png,cuckoo,brown,brown,chair,chair,further,25.549,2769-b075d070-88e5-47fe-b275-c49134b19ceb,True,waiting,5.7139999999999995,0.0584,8,True
104,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,doberman,doberman,1,2325,gameID_8484-f49ea84f-5e54-4a64-b793-bed95e9aa1fd_trial_9.png,weimaraner,basset,basset,dog,dog,closer,32.471,8484-f49ea84f-5e54-4a64-b793-bed95e9aa1fd,True,doberman,17.682000000000002,0.0372,6,True
105,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,hatchback,white,0,1789,gameID_6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_trial_9.png,bluesedan,redsport,redsport,car,car,closer,16.645,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8,True,hatchback,8.234,0.048,5,True
106,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,tomtit,crow,0,2124,gameID_7823-f830a2ad-96de-4d1f-a926-5b44d0a625aa_trial_9.png,redsport,knob,knob,bird,bird,further,6.2989999999999995,7823-f830a2ad-96de-4d1f-a926-5b44d0a625aa,True,tomtit,2.6039999999999996,0.0331,6,True
107,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bloodhound,bloodhound,1,1388,gameID_7311-9dac6fad-97de-467c-932a-e02645c5c647_trial_9.png,chihuahua,doberman,doberman,dog,dog,closer,1.089,7311-9dac6fad-97de-467c-932a-e02645c5c647,True,bloodhound,19.846,0.0458,3,True
108,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,sparrow,pigeon,0,5523,gameID_4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_trial_9.png,beetle,woven,woven,bird,bird,further,19.5,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16,True,sparrow,1.682,0.0466,13,True
109,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bluesport,beetle,0,4322,gameID_8690-8b4e0b59-f3f2-4e43-b4a0-66caff2a72e4_trial_10.png,pigeon,sling,sling,car,car,further,21.203000000000003,8690-8b4e0b59-f3f2-4e43-b4a0-66caff2a72e4,True,bluesport,8.988999999999999,0.061,12,True
110,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,pigeon,pigeon,1,2504,gameID_5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_trial_10.png,robin,nightingale,nightingale,bird,bird,closer,24.342,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d,True,pigeon,9.786,0.0611,11,True
111,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,bluesport,brown,0,2572,gameID_2323-a9c585ff-0096-4f9c-8be4-e202993c654f_trial_10.png,beetle,brown,brown,car,car,closer,60.475,2323-a9c585ff-0096-4f9c-8be4-e202993c654f,True,bluesport,10.47,0.0763,17,True
112,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,sling,sling,1,2964,gameID_5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687_trial_10.png,squat,leather,leather,chair,chair,closer,80.563,5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687,True,sling,8.22,0.0961,35,True
113,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,hatchback,hatchback,1,2291,gameID_3058-fb4fe740-d862-453b-a08f-44375a040165_trial_10.png,brown,bluesedan,bluesedan,car,car,closer,34.966,3058-fb4fe740-d862-453b-a08f-44375a040165,True,hatchback,4.694,0.0589,13,True
114,0056-ba7de7bb-2dd0-4664-9da2-205a4257dda4,woven,woven,1,3622,gameID_6373-a60ef7ba-4340-4fc3-b549-bf974318f61d_trial_10.png,inlay,straight,straight,chair,chair,closer,15.328,6373-a60ef7ba-4340-4fc3-b549-bf974318f61d,True,woven,2.798,0.0592,7,True
